age_emp;gender;edu_level;job_title;year_exp;salary_emp;age_category;exp_level
29;Female;Master;Web Developer;5;70000;Millenial;Mid
36;Male;Master;Back end Developer;8;140000;Millenial;Senior
42;Male;Master;Director of Marketing;13;130000;Millenial;Senior
38;Male;Master;Director of Marketing;9;95000;Millenial;Senior
51;Female;Master;Director of Operations;23;170000;Genn X;Senior
38;Female;Master;Marketing Manager;9;100000;Millenial;Senior
26;Male;Master;Full Stack Engineer;3;88678;Gen Z;Mid
41;Female;Master;Senior Marketing Analyst;14;100000;Millenial;Senior
34;Female;Master;Full Stack Engineer;10;163398;Millenial;Senior
35;Male;Master;Senior Software Developer;9;110000;Millenial;Senior
28;Male;Master;Front end Developer;5;76742;Millenial;Mid
34;Female;Master;Product Manager;7;120000;Millenial;Mid
27;Female;Master;Front end Developer;5;78354;Millenial;Mid
54;Male;Master;Senior Software Engineer;32;195270;Genn X;Senior
32;Female;Master;Software Developer;7;90000;Millenial;Mid
31;Female;Master;Senior Software Engineer;6;113563;Millenial;Mid
40;Female;Master;Human Resources Manager;12;130000;Millenial;Senior
43;Male;Master;Content Marketing Manager;16;160000;Genn X;Senior
28;Female;Master;Digital Marketing Manager;4;55000;Millenial;Mid
36;Male;Master;Full Stack Engineer;8;140000;Millenial;Senior
52;Female;Master;Senior Marketing Manager;25;170000;Genn X;Senior
37;Female;Master;Marketing Manager;10;110000;Millenial;Senior
49;Male;Master;Software Engineer Manager;22;182237;Genn X;Senior
36;Female;Master;Marketing Coordinator;8;85000;Millenial;Senior
25;Male;Master;Digital Marketing Manager;3;50000;Gen Z;Mid
32;Male;Master;Senior Project Engineer;11;128078;Millenial;Senior
48;Female;Master;Senior Software Engineer;24;184006;Genn X;Senior
45;Male;Phd;Software Engineer Manager;16;185000;Genn X;Senior
42;Male;Phd;Senior Human Resources Manager;14;130000;Millenial;Senior
39;Male;Phd;Marketing Manager;10;100000;Millenial;Senior
42;Male;Phd;Director of Data Science;12;170000;Millenial;Senior
53;Male;Phd;Software Engineer Manager;18;195000;Genn X;Senior
43;Female;Phd;Senior Project Engineer;14;190000;Genn X;Senior
46;Female;Phd;Software Engineer Manager;21;174821;Genn X;Senior
48;Male;Phd;Software Engineer Manager;23;188288;Genn X;Senior
44;Female;Phd;Software Engineer Manager;18;157872;Genn X;Senior
41;Female;Phd;Senior Project Engineer;11;165000;Millenial;Senior
36;Female;Phd;Research Director;12;175000;Millenial;Senior
54;Male;Phd;Software Engineer Manager;16;190000;Genn X;Senior
44;Female;Phd;Software Engineer Manager;11;165000;Genn X;Senior
26;Male;High School;Financial Manager;3;45000;Gen Z;Mid
27;Male;High School;Back end Developer;4;80247;Millenial;Mid
54;Other;High School;Senior Software Engineer;29;158254;Genn X;Senior
24;Female;High School;Junior HR Generalist;1;32000;Gen Z;Entry
31;Male;High School;Junior HR Generalist;2;35000;Millenial;Entry
24;Female;High School;Receptionist;0;25000;Gen Z;Entry
24;Female;High School;Sales Associate;1;35000;Gen Z;Entry
28;Male;High School;Junior Web Developer;2;43000;Millenial;Entry
32;Male;Bachelor;Back end Developer;4;95000;Millenial;Mid
24;Female;Bachelor;Front end Developer;1;55000;Gen Z;Entry
31;Male;Master;Senior Software Engineer;7;140000;Millenial;Mid
46;Male;Master;Director of Operations;20;170000;Genn X;Senior
40;Female;Master;Senior Human Resources Specialist;13;120000;Millenial;Senior
27;Female;Master;Junior Research Scientist;1.5;50000;Millenial;Entry
32;Male;Master;Full Stack Engineer;6;120000;Millenial;Mid
29;Male;Master;Senior HR Generalist;4;70000;Millenial;Mid
35;Male;Master;Full Stack Engineer;9;130275;Millenial;Senior
26;Male;Master;Full Stack Engineer;3;91397;Gen Z;Mid
48;Male;Master;Director of Marketing;21;180000;Genn X;Senior
42;Male;Master;Senior Software Engineer;19;175684;Millenial;Senior
32;Male;Master;Senior Business Analyst;6;90000;Millenial;Mid
29;Female;Master;Software Developer;5;70000;Millenial;Mid
44;Female;Master;Senior Software Engineer;12;170000;Genn X;Senior
32;Female;Master;Product Manager;5;100000;Millenial;Mid
49;Male;Master;Front end Developer;24;174726;Genn X;Senior
25;Female;Master;Data Analyst;1;100000;Gen Z;Entry
41;Male;Master;Senior Software Engineer;19;185000;Millenial;Senior
35;Male;Master;Senior Product Manager;10;120000;Millenial;Senior
34;Male;Master;Director of HR;10;105000;Millenial;Senior
38;Female;Master;Marketing Manager;10;110000;Millenial;Senior
33;Female;Master;Back end Developer;9;124141;Millenial;Senior
39;Female;Master;Senior Software Engineer;11;160000;Millenial;Senior
28;Female;Master;Full Stack Engineer;7;115920;Millenial;Mid
49;Male;Phd;Data Scientist;22;220000;Genn X;Senior
46;Female;Phd;Senior Project Engineer;16;185000;Genn X;Senior
42;Male;Phd;Director of HR;16;140000;Millenial;Senior
47;Male;Phd;Senior Research Scientist;22;160000;Genn X;Senior
57;Female;Phd;Software Engineer Manager;33;191790;Baby Boomer;Senior
41;Male;Phd;Software Engineer Manager;15;148727;Millenial;Senior
54;Female;Phd;Software Engineer Manager;31;191818;Genn X;Senior
35;Male;Phd;Data Scientist;9;112000;Millenial;Senior
44;Female;Phd;Senior Project Engineer;14;190000;Genn X;Senior
60;Male;Phd;Software Engineer Manager;18;195000;Baby Boomer;Senior
47;Male;Phd;Senior Software Engineer;15;180000;Genn X;Senior
52;Male;Phd;Software Engineer Manager;26;185462;Genn X;Senior
42;Male;Phd;Data Scientist;12;130000;Millenial;Senior
42;Male;Phd;Data Scientist;16;162000;Millenial;Senior
48;Male;Phd;Senior Software Engineer;26;194638;Genn X;Senior
41;Female;Phd;Software Engineer Manager;13;138662;Millenial;Senior
47;Male;Phd;Senior Project Engineer;16;190000;Genn X;Senior
41;Female;Phd;Software Engineer Manager;14;180000;Millenial;Senior
27;Male;High School;Sales Manager;2;40000;Millenial;Entry
25;Other;High School;Full Stack Engineer;2;69032;Gen Z;Entry
26;Female;High School;Sales Executive;1;35000;Gen Z;Entry
28;Female;High School;Juniour HR Generalist;2;43000;Millenial;Entry
29;Female;High School;Sales Representative;2;40000;Millenial;Entry
23;Male;High School;Sales Executive;1;35000;Gen Z;Entry
32;Male;Master;Senior Project Engineer;8;121454;Millenial;Senior
31;Female;Master;Senior Software Engineer;6;114290;Millenial;Mid
33;Male;Master;Full Stack Engineer;6;130000;Millenial;Mid
33;Female;Master;Data Analyst;6;90000;Millenial;Mid
46;Female;Master;Senior Project Engineer;13;180000;Genn X;Senior
38;Male;Master;Senior IT Consultant;9;110000;Millenial;Senior
33;Female;Master;Product Manager;8;135000;Millenial;Senior
29;Female;Master;Web Developer;4;65000;Millenial;Mid
33;Male;Master;Web Developer;6;80000;Millenial;Mid
45;Male;Master;Director of Engineering;19;180000;Genn X;Senior
29;Male;Master;Data Scientist;3;75000;Millenial;Mid
44;Female;Master;Human Resources Manager;15;152000;Genn X;Senior
42;Female;Master;Software Engineer Manager;13;170000;Millenial;Senior
39;Female;Master;Software Engineer Manager;12;160000;Millenial;Senior
32;Female;Master;Marketing Manager;8;120000;Millenial;Senior
26;Female;Master;Front end Developer;3;73218;Gen Z;Mid
31;Male;Master;Financial Analyst;6;100000;Millenial;Mid
31;Female;Master;Data Scientist;6;180000;Millenial;Mid
47;Male;Master;Director of Operations;20;170000;Genn X;Senior
45;Female;Master;Software Engineer Manager;22;183530;Genn X;Senior
37;Other;Master;Full Stack Engineer;14;161393;Millenial;Senior
51;Female;Master;Senior Project Engineer;25;177913;Genn X;Senior
29;Female;Master;Human Resources Coordinator;3;49000;Millenial;Mid
33;Female;Master;Full Stack Engineer;11;129686;Millenial;Senior
33;Female;Master;Marketing Manager;8;120000;Millenial;Senior
34;Female;Phd;Research Director;12;170000;Millenial;Senior
48;Male;Phd;Principal Engineer;20;170000;Genn X;Senior
57;Male;Phd;Software Engineer Manager;16;195000;Baby Boomer;Senior
44;Male;Phd;Senior Project Engineer;12;170000;Genn X;Senior
36;Male;Phd;Research Scientist;13;185000;Millenial;Senior
44;Male;Phd;Software Engineer Manager;18;190000;Genn X;Senior
45;Female;Phd;Data Scientist;19;193000;Genn X;Senior
36;Female;Phd;Marketing Manager;9;95000;Millenial;Senior
34;Male;Phd;Research Director;11;170000;Millenial;Senior
32;Female;Phd;Data Scientist;9;195000;Millenial;Senior
43;Male;Phd;Senior Project Engineer;13;185000;Genn X;Senior
44;Male;Phd;Data Scientist;16;160000;Genn X;Senior
23;Male;High School;Junior Sales Associate;1;30000;Gen Z;Entry
33;Female;High School;Sales Executive;4;55000;Millenial;Mid
26;Female;Bachelor;Junior HR Generalist;1;32000;Gen Z;Entry
38;Male;Master;Senior HR Generalist;8;95000;Millenial;Senior
30;Female;Master;Full Stack Engineer;5;102465;Millenial;Mid
50;Female;Master;Full Stack Engineer;24;192756;Genn X;Senior
51;Female;Master;Senior Product Marketing Manager;19;190000;Genn X;Senior
38;Male;Master;Senior Software Engineer;10;155000;Millenial;Senior
36;Male;Master;Front end Developer;8;106492;Millenial;Senior
41;Male;Master;Director of Marketing;12;120000;Millenial;Senior
24;Female;Master;Software Engineer;2;60000;Gen Z;Entry
42;Female;Master;Senior Human Resources Manager;13;140000;Millenial;Senior
26;Male;Master;Full Stack Engineer;4;90944;Gen Z;Mid
32;Male;Master;Web Developer;6;80000;Millenial;Mid
27;Male;Master;Digital Marketing Manager;3;50000;Millenial;Mid
33;Female;Master;Content Marketing Manager;6;75000;Millenial;Mid
34;Female;Master;Data Scientist;9;140000;Millenial;Senior
52;Male;Master;Senior Software Engineer;27;186794;Genn X;Senior
38;Female;Master;Digital Marketing Manager;10;90000;Millenial;Senior
35;Female;Master;Software Engineer;9;140000;Millenial;Senior
37;Male;Master;Senior Software Engineer;10;155000;Millenial;Senior
37;Female;Master;Senior Marketing Analyst;9;95000;Millenial;Senior
49;Male;Master;Software Engineer Manager;23;182392;Genn X;Senior
35;Male;Master;Senior Project Engineer;8;101332;Millenial;Senior
28;Male;Master;Financial Analyst;4;90000;Millenial;Mid
30;Male;Master;Financial Manager;7;120000;Millenial;Mid
54;Female;Phd;Software Engineer Manager;14;190000;Genn X;Senior
48;Male;Phd;Software Engineer Manager;19;200000;Genn X;Senior
27;Male;Phd;Marketing Coordinator;7;120000;Millenial;Mid
46;Male;Phd;Director of Data Science;20;220000;Genn X;Senior
36;Female;Phd;Research Scientist;12;160000;Millenial;Senior
29;Male;Phd;Software Engineer Manager;6;106662;Millenial;Mid
33;Male;Phd;Research Scientist;10;150000;Millenial;Senior
29;Female;Phd;Data Scientist;5;100000;Millenial;Mid
39;Female;Phd;Senior Research Scientist;13;145000;Millenial;Senior
47;Female;Phd;Senior Software Engineer;14;170000;Genn X;Senior
54;Male;Phd;Software Engineer Manager;30;184660;Genn X;Senior
44;Female;Phd;Senior Data Scientist;16;160000;Genn X;Senior
35;Male;Phd;Marketing Manager;7;90000;Millenial;Mid
37;Male;Phd;Marketing Manager;7;90000;Millenial;Mid
26;Female;High School;Financial Manager;3;45000;Gen Z;Mid
29;Female;High School;Junior Sales Associate;1;30000;Millenial;Entry
27;Male;High School;Financial Manager;4;60000;Millenial;Mid
33;Female;Master;Front end Developer;9;121120;Millenial;Senior
39;Female;Master;Marketing Manager;12;150000;Millenial;Senior
33;Female;Master;Marketing Manager;7;90000;Millenial;Mid
57;Female;Master;Full Stack Engineer;33;188232;Baby Boomer;Senior
32;Female;Master;Software Engineer;9;120000;Millenial;Senior
58;Male;Master;Senior Software Engineer;27;190004;Baby Boomer;Senior
31;Male;Master;Senior Project Engineer;7;135000;Millenial;Mid
32;Female;Master;Software Developer;8;95000;Millenial;Senior
26;Female;Master;Marketing Coordinator;2;40000;Gen Z;Entry
36;Male;Master;Full Stack Engineer;11;137775;Millenial;Senior
26;Male;Master;Full Stack Engineer;4;85825;Gen Z;Mid
43;Male;Master;Senior Software Engineer;19;185000;Genn X;Senior
33;Female;Master;Full Stack Engineer;9;136986;Millenial;Senior
42;Male;Master;Full Stack Engineer;19;177347;Millenial;Senior
44;Male;Master;Senior Project Engineer;11;170000;Genn X;Senior
26;Male;Master;Full Stack Engineer;3;68472;Gen Z;Mid
36;Female;Master;Senior Project Engineer;12;130356;Millenial;Senior
44;Male;Master;Senior Software Engineer;18;152168;Genn X;Senior
27;Female;Master;Human Resources Coordinator;3;50000;Millenial;Mid
33;Female;Master;Marketing Manager;9;130000;Millenial;Senior
42;Male;Master;Project Engineer;14;115000;Millenial;Senior
31;Male;Master;Data Scientist;7;180000;Millenial;Mid
31;Male;Master;Data Scientist;6;175000;Millenial;Mid
34;Male;Master;Data Analyst;8;100000;Millenial;Senior
36;Female;Master;Data Scientist;8;130000;Millenial;Senior
29;Male;Master;Financial Analyst;5;95000;Millenial;Mid
35;Female;Master;Marketing Manager;10;110000;Millenial;Senior
38;Male;Master;Full Stack Engineer;15;171652;Millenial;Senior
48;Female;Phd;Senior Product Marketing Manager;17;170000;Genn X;Senior
32;Female;Phd;Data Scientist;10;193000;Millenial;Senior
48;Female;Phd;Senior Product Marketing Manager;19;190000;Genn X;Senior
48;Male;Phd;Director of Data Science;18;210000;Genn X;Senior
44;Female;Phd;Director of HR;14;140000;Genn X;Senior
40;Female;Phd;Senior Software Engineer;12;160000;Millenial;Senior
48;Female;Phd;Director of Marketing;19;190000;Genn X;Senior
39;Female;Phd;Director of HR;13;130000;Millenial;Senior
39;Male;Phd;Senior Engineer;12;115000;Millenial;Senior
35;Female;Phd;Research Director;12;175000;Millenial;Senior
50;Male;Phd;Software Engineer Manager;17;195000;Genn X;Senior
38;Male;Phd;Senior Data Scientist;13;170000;Millenial;Senior
35;Male;Phd;Senior Research Scientist;10;130000;Millenial;Senior
47;Male;Phd;Senior Data Scientist;21;180000;Genn X;Senior
32;Male;High School;Junior Sales Representative;3;40000;Millenial;Mid
25;Male;High School;Junior HR Generalist;2;40000;Gen Z;Entry
31;Male;High School;Junior Sales Representative;3;40000;Millenial;Mid
24;Female;High School;Sales Associate;0;25000;Gen Z;Entry
28;Female;High School;Junior Sales Associate;1;25000;Millenial;Entry
30;Female;Master;Front end Developer;4;90000;Millenial;Mid
48;Female;Master;Senior Software Engineer;23;185038;Genn X;Senior
30;Female;Master;Product Manager;6;110000;Millenial;Mid
26;Male;Master;Full Stack Engineer;4;89843;Gen Z;Mid
42;Female;Master;Senior HR Generalist;12;110000;Millenial;Senior
34;Male;Master;Front end Developer;9;150000;Millenial;Senior
33;Female;Master;Software Developer;8;95000;Millenial;Senior
39;Female;Master;Human Resources Manager;11;120000;Millenial;Senior
28;Female;Master;Full Stack Engineer;4;82697;Millenial;Mid
42;Female;Master;Full Stack Engineer;14;163978;Millenial;Senior
29;Female;Master;Full Stack Engineer;4;104702;Millenial;Mid
46;Male;Master;Senior Project Manager;21;135000;Genn X;Senior
29;Female;Master;Senior HR Generalist;4;75000;Millenial;Mid
43;Female;Master;Senior Software Engineer;12;170000;Genn X;Senior
33;Female;Master;Senior Financial Analyst;6;95000;Millenial;Mid
29;Female;Master;Data Analyst;6;150000;Millenial;Mid
33;Male;Master;Data Analyst;8;120000;Millenial;Senior
48;Female;Master;Human Resources Director;20;180000;Genn X;Senior
26;Female;Master;Junior Data Scientist;1.5;45000;Gen Z;Entry
24;Male;Master;Back end Developer;0;55538;Gen Z;Entry
34;Male;Master;Back end Developer;8;140000;Millenial;Senior
42;Male;Master;Senior Software Engineer;18;180000;Millenial;Senior
29;Male;Master;Senior Human Resources Manager;4;70000;Millenial;Mid
31;Male;Master;Data Scientist;9;185000;Millenial;Senior
32;Female;Master;Full Stack Engineer;6;115000;Millenial;Mid
52;Male;Master;Director;20;200000;Genn X;Senior
31;Male;Master;Director of HR;7;90000;Millenial;Mid
30;Female;Master;Back end Developer;6;130000;Millenial;Mid
46;Female;Master;Director of Marketing;17;170000;Genn X;Senior
46;Male;Phd;Senior Researcher;18;150000;Genn X;Senior
42;Male;Phd;Software Engineer Manager;14;180000;Millenial;Senior
44;Male;Phd;Data Scientist;15;150000;Genn X;Senior
41;Male;Phd;Software Engineer Manager;16;151310;Millenial;Senior
53;Male;Phd;Software Engineer Manager;25;181714;Genn X;Senior
41;Male;Phd;Software Engineer Manager;12;175000;Millenial;Senior
45;Male;Phd;Data Scientist;18;180000;Genn X;Senior
54;Male;Phd;Software Engineer Manager;17;195000;Genn X;Senior
47;Male;Phd;Senior Product Marketing Manager;17;170000;Genn X;Senior
30;Female;Phd;Data Scientist;7;170000;Millenial;Mid
44;Male;Phd;Software Engineer Manager;19;172955;Genn X;Senior
40;Male;Phd;Senior Software Engineer;12;160000;Millenial;Senior
46;Male;Phd;Senior Manager;20;170000;Genn X;Senior
45;Male;Phd;Research Director;16;190000;Genn X;Senior
44;Female;Phd;Senior Data Engineer;16;160000;Genn X;Senior
30;Male;High School;Junior HR Generalist;1;32000;Millenial;Entry
27;Female;High School;Junior HR Generalist;1;32000;Millenial;Entry
27;Female;Master;Back end Developer;2;70000;Millenial;Entry
49;Male;Master;Full Stack Engineer;22;179045;Genn X;Senior
36;Male;Master;Back end Developer;9;150000;Millenial;Senior
49;Female;Master;Director of Operations;21;180000;Genn X;Senior
41;Female;Master;Human Resources Manager;13;140000;Millenial;Senior
44;Male;Master;Senior Software Engineer;19;152203;Genn X;Senior
43;Male;Master;Full Stack Engineer;20;167924;Genn X;Senior
26;Male;Master;Full Stack Engineer;4;91062;Gen Z;Mid
25;Female;Master;Digital Marketing Manager;3;50000;Gen Z;Mid
49;Male;Master;Marketing Manager;23;228000;Genn X;Senior
30;Male;Master;Front end Developer;5;105000;Millenial;Mid
34;Female;Master;Product Manager;11;196000;Millenial;Senior
26;Female;Master;Front end Developer;3;72649;Gen Z;Mid
26;Female;Master;Back end Developer;3;90000;Gen Z;Mid
40;Male;Master;Software Engineer Manager;16;149748;Millenial;Senior
27;Female;Master;Back end Developer;2;65000;Millenial;Entry
37;Female;Master;Senior Human Resources Manager;9;105000;Millenial;Senior
36;Male;Master;Full Stack Engineer;13;146351;Millenial;Senior
42;Male;Master;Software Engineer Manager;13;170000;Millenial;Senior
36;Female;Master;Full Stack Engineer;8;140000;Millenial;Senior
31;Female;Master;Full Stack Engineer;7;108799;Millenial;Mid
25;Female;Master;Junior HR Generalist;1;32000;Gen Z;Entry
51;Female;Master;Content Marketing Manager;19;190000;Genn X;Senior
34;Male;Master;Full Stack Engineer;7;140000;Millenial;Mid
45;Male;Phd;Senior Data Engineer;16;150000;Genn X;Senior
43;Male;Phd;Senior Project Engineer;15;180000;Genn X;Senior
28;Male;Phd;Marketing Manager;4;55000;Millenial;Mid
51;Female;Phd;Director of Human Resources;23;185000;Genn X;Senior
49;Male;Phd;Senior Project Engineer;15;185000;Genn X;Senior
23;Male;Phd;Software Engineer Manager;0;52612;Gen Z;Entry
44;Female;Phd;Software Engineer Manager;18;161621;Genn X;Senior
34;Male;Phd;Director of Marketing;12;170000;Millenial;Senior
44;Female;Phd;Data Scientist;18;183000;Genn X;Senior
41;Female;Phd;Software Engineer Manager;14;185000;Millenial;Senior
50;Male;Phd;Software Engineer Manager;16;190000;Genn X;Senior
27;Male;High School;Back end Developer;4;79767;Millenial;Mid
30;Female;High School;Sales Executive;2;40000;Millenial;Entry
27;Male;High School;Sales Representative;3;50000;Millenial;Mid
22;Female;High School;Back end Developer;0;51832;Gen Z;Entry
26;Male;High School;Junior Sales Associate;1;26000;Gen Z;Entry
28;Male;High School;Sales Executive;2;40000;Millenial;Entry
25;Female;High School;Sales Associate;1;35000;Gen Z;Entry
29;Female;Master;Senior HR Generalist;4;70000;Millenial;Mid
31;Male;Master;Data Scientist;7;130000;Millenial;Mid
47;Female;Master;Director of Marketing;20;180000;Genn X;Senior
50;Female;Master;Senior Software Engineer;23;183690;Genn X;Senior
33;Male;Master;Marketing Manager;9;130000;Millenial;Senior
